epoch,ESR,loss,val_ESR,val_loss
0,0.5133925080299377,0.6643251180648804,0.15850800275802612,0.3156155049800873
1,0.1043788343667984,0.16342094540596008,0.08029099553823471,0.11281091719865799
2,0.0735945776104927,0.09578245133161545,0.06664560735225677,0.08459161967039108
3,0.0684438943862915,0.08498265594244003,0.06484537571668625,0.08274155855178833
4,0.0654241144657135,0.07858892530202866,0.06092080846428871,0.07458913326263428
5,0.06283073127269745,0.07500877976417542,0.061419013887643814,0.07274512946605682
6,0.06092088297009468,0.07251261919736862,0.06343323737382889,0.07335508614778519
7,0.059452831745147705,0.070351243019104,0.056536588817834854,0.06807438284158707
8,0.05829325318336487,0.06863249838352203,0.053877733647823334,0.06485448777675629
9,0.05734195187687874,0.06701173633337021,0.05539689213037491,0.0644218772649765
